tweet_id,brand,twitter_handle,text,likes,retweets,replies,published_at,lang,mentions,has_influencer_mention,date,hour,day_of_week
1766172761024782387,Lululemon,,"🚨 BREAKING NEWS 🚨

Camille Herron (@runcamille) just set the new 48 hour American Road Record and ran 247.73 miles. All in 2 days work at #lululemonFURTHER. https://t.co/mRU299ixLy",758,65,18,2024-03-08 18:42:54+00:00,en,runcamille,True,2024-03-08,18,Friday
1766925963022258278,Lululemon,,"🚀 TO THE MOON 🚀

@runcamille continues to rewrite history books. She set four (4) new women’s World Bests at #lululemonFURTHER:
🔘 3-day World Best with 342.091 miles
🔘 300mi at 59:54:28
🔘 500K at 62:50:17
🔘 400mi 88:34:26 https://t.co/JFxwHjQRpc",263,26,9,2024-03-10 20:35:52+00:00,en,runcamille,True,2024-03-10,20,Sunday
1766936605410115805,Lululemon,,"RT @runcamille: Next record to be smashed is the Women’s World 600k Record!!!
Previously stood at 4 days and 56 minutes. 
Camille crossed t…",0,57,0,2024-03-10 21:18:09+00:00,en,runcamille,True,2024-03-10,21,Sunday
1766936618269897160,Lululemon,,"RT @runcamille: And Another one!!!!!

This time is the Women’s World 500k Record - new time of 2 days, 14 hours and 45 sec. 

(Pending rati…",0,46,0,2024-03-10 21:18:12+00:00,en,runcamille,True,2024-03-10,21,Sunday
1767643333818806531,Lululemon,,"No caption needed.

@runcamille #lululemonFURTHER https://t.co/zsSG9Eyace",818,106,56,2024-03-12 20:06:26+00:00,en,runcamille,True,2024-03-12,20,Tuesday
1768032892507357610,Lululemon,,RT @runcamille: https://t.co/zmT1oYPuIg,0,51,0,2024-03-13 21:54:24+00:00,zxx,runcamille,True,2024-03-13,21,Wednesday
1931837744806011285,Puma,,"RT @pumafootball: History N̶e̶e̶d̶s̶ Makers 🇵🇹

@selecaoportugal does it again 🏆🏆

#GoWild https://t.co/18QgEDTy2J",0,334,0,2025-06-08 22:16:24+00:00,es,"pumafootball, selecaoportugal",True,2025-06-08,22,Sunday
1934353557400228005,Puma,,"RT @PUMAHoops: Step into a new dimension of shopping.

Grab your @MetaQuestVR and explore the All-Pro Nitro in PUMA’s first-ever mixed real…",0,17,0,2025-06-15 20:53:21+00:00,en,"PUMAHoops, MetaQuestVR",True,2025-06-15,20,Sunday
1938606191011082442,Puma,,"We're teaming up with @PlayRematch for launch. ⚽🔥

From the pitch to the REMATCH arena, it's time to rep the cat head-to-toe.

The first-ever fully branded kit is live in-game now. Suit up, hit the pitch, and stay tuned—this is just the beginning.
 
#REMATCH #PlayREMATCH https://t.co/46NhOueonK",96,7,20,2025-06-27 14:31:48+00:00,en,PlayRematch,True,2025-06-27,14,Friday
1938749188310778083,Puma,,"TMNT x PUMA Kicks

@TMNT @Fortnite 
https://t.co/40QF30tLzr https://t.co/IVohHGfUYK",213,19,35,2025-06-28 00:00:01+00:00,en,"TMNT, Fortnite",True,2025-06-28,0,Saturday
1938749254094184888,Puma,,"Go beast mode, and look good doin’ it. PUMA Kicks are runnin’ wild in the Shop. @TMNT @Fortnite 

https://t.co/40QF30tLzr https://t.co/GIlbxyTh6B",115,24,26,2025-06-28 00:00:17+00:00,en,"TMNT, Fortnite",True,2025-06-28,0,Saturday
1940079468510347326,Puma,,"RT @Fortnite: Go beast mode, and look good doin’ it! 
@Puma Kicks are runnin’ wild. https://t.co/hB8t9KxPgY",0,129,0,2025-07-01 16:06:04+00:00,en,"Fortnite, Puma",True,2025-07-01,16,Tuesday
1942972810164404726,Puma,,"We just dropped into @DRESSGO_game on Roblox 💅🎮  Step into the Fashion Academy and flex 3 exclusive PUMA dresses, only available in-game 💖  It’s giving style, it’s giving fun. Let’s go 👉 https://t.co/UkLKY9PVTq https://t.co/QbgmIvS6k2",113,29,85,2025-07-09 15:43:11+00:00,en,DRESSGO_game,True,2025-07-09,15,Wednesday
1953573197745418705,Puma,,"RT @rihanna: 🤯 Alton Mason you always pull up on your superstar shit!!! 

new #FENTYxPUMA drop available now: https://t.co/2OFkNCBK41

🎥: T…",0,3632,0,2025-08-07 21:45:20+00:00,en,rihanna,True,2025-08-07,21,Thursday
1961191214121980411,UnderArmour,,Who gave @shanemgillis a whistle? 🤨 https://t.co/pIuJIqCJNT,10259,1173,156,2025-08-28 22:16:37+00:00,en,shanemgillis,True,2025-08-28,22,Thursday
1963588298019860850,UnderArmour,,Group chat turned game of the year. #WeAreFootball @1GunnaGunna @jjettas2 @Cameron7Ward @diana_flores33 @UAFootball https://t.co/wX5rvBWH4U,726,163,36,2025-09-04 13:01:46+00:00,en,"1GunnaGunna, jjettas2, Cameron7Ward, diana_flores33, UAFootball",True,2025-09-04,13,Thursday
1963633320421478784,UnderArmour,,Every play comes with a story. You had to be there. #WeAreFootball @2xrakai https://t.co/j3rTZKahnj,141,43,16,2025-09-04 16:00:40+00:00,en,2xrakai,True,2025-09-04,16,Thursday
1964720484043411504,UnderArmour,,Sports and music. That's culture. @1GunnaGunna @MTV #VMAs https://t.co/ygP1Dz3N78,11864,1284,117,2025-09-07 16:00:40+00:00,en,"1GunnaGunna, MTV",True,2025-09-07,16,Sunday
